,2009.repayment.3_yr_repayment.completers_rate,2009.repayment.3_yr_repayment.noncompleters_rate,2009.repayment.7_yr_repayment.completers_rate,2009.repayment.7_yr_repayment.noncompleters_rate,2009.repayment.repayment_cohort.3_year_declining_balance,2009.repayment.repayment_cohort.7_year_declining_balance,2010.repayment.3_yr_repayment.completers_rate,2010.repayment.3_yr_repayment.noncompleters_rate,2010.repayment.7_yr_repayment.completers_rate,2010.repayment.7_yr_repayment.noncompleters_rate,2010.repayment.repayment_cohort.3_year_declining_balance,2010.repayment.repayment_cohort.7_year_declining_balance,2011.repayment.3_yr_repayment.completers_rate,2011.repayment.3_yr_repayment.noncompleters_rate,2011.repayment.7_yr_repayment.completers_rate,2011.repayment.7_yr_repayment.noncompleters_rate,2011.repayment.repayment_cohort.3_year_declining_balance,2011.repayment.repayment_cohort.7_year_declining_balance,2012.repayment.3_yr_repayment.completers_rate,2012.repayment.3_yr_repayment.noncompleters_rate,2012.repayment.7_yr_repayment.completers_rate,2012.repayment.7_yr_repayment.noncompleters_rate,2012.repayment.repayment_cohort.3_year_declining_balance,2012.repayment.repayment_cohort.7_year_declining_balance,2013.repayment.3_yr_repayment.completers_rate,2013.repayment.3_yr_repayment.noncompleters_rate,2013.repayment.7_yr_repayment.completers_rate,2013.repayment.7_yr_repayment.noncompleters_rate,2013.repayment.repayment_cohort.3_year_declining_balance,2013.repayment.repayment_cohort.7_year_declining_balance,2014.repayment.3_yr_repayment.completers_rate,2014.repayment.3_yr_repayment.noncompleters_rate,2014.repayment.7_yr_repayment.completers_rate,2014.repayment.7_yr_repayment.noncompleters_rate,2014.repayment.repayment_cohort.3_year_declining_balance,2014.repayment.repayment_cohort.7_year_declining_balance,2015.repayment.3_yr_repayment.completers_rate,2015.repayment.3_yr_repayment.noncompleters_rate,2015.repayment.7_yr_repayment.completers_rate,2015.repayment.7_yr_repayment.noncompleters_rate,2015.repayment.repayment_cohort.3_year_declining_balance,2015.repayment.repayment_cohort.7_year_declining_balance,school.name
14,0.6757322176,0.4283646889,,,0.4919354839,,0.4924242424,0.3056451613,,,0.3508557457,,0.4014732965,0.2401515152,,,0.2871712292,,0.3584637269,0.2077562327,,,0.2571029343,,0.3588235294,0.2024691358,0.668468469,0.463291139,0.2562753036,0.516627635,0.3747553816,0.2109577222,0.565488566,0.356228956,0.2610778443,0.407426246,0.3469210755,0.211409396,0.49378882,0.307644883,0.2521512386,0.36054722,Chicago State University
15,0.8854166667,0.6388888889,,,0.8181818182,,0.82,0.4285714286,,,0.6912751678,,0.580952381,0.3181818182,,,0.4611398964,,0.487394958,0.2561983471,,,0.3708333333,,0.4786324786,0.2478632479,0.839622642,0.634146342,0.3632478632,0.782312925,0.4357142857,0.2315789474,0.841121495,0.41509434,0.3531914894,0.7,0.550295858,0.2717391304,0.657894737,0.311827957,0.4521072797,0.502415459,Cosmetology & Spa Academy
16,0.6916666667,0.5906432749,,,0.6097946288,,0.7086092715,0.5468164794,,,0.5824817518,,0.6630434783,0.4928825623,,,0.5348525469,,0.6556016598,0.4444444444,,,0.4964249234,,0.6805111821,0.412959381,0.692913386,0.618374558,0.4751299183,0.632034632,0.6775,0.3836477987,0.717948718,0.567612688,0.4539473684,0.598675497,0.6576200418,0.3610900833,0.689119171,0.53634895,0.44,0.572660099,Elgin Community College
17,0.7718120805,0.4759704251,,,0.5117790414,,0.675257732,0.4212662338,,,0.4558204769,,0.6538461538,0.3898181818,,,0.4419147694,,0.6765432099,0.3621203097,,,0.4232245681,,0.6471816284,0.3353293413,0.76875,0.503816794,0.3916981132,0.535474235,0.6234458259,0.3262548263,0.727272727,0.473372781,0.3793212813,0.508905852,0.6126984127,0.3439685315,0.724517906,0.442359249,0.4019876628,0.497574124,Illinois Central College
18,0.781512605,0.4053497942,,,0.479338843,,0.7019230769,0.3921161826,,,0.4470989761,,0.6704545455,0.4207048458,,,0.4612546125,,0.6973684211,0.4334763948,,,0.4704797048,,0.640776699,0.3981481481,0.803278689,0.442344045,0.4370139969,0.509984639,0.6666666667,0.3714285714,0.757009346,0.444444444,0.4267053701,0.498387097,0.6617647059,0.3605263158,0.64516129,0.472616633,0.4399224806,0.5,John A Logan College
19,,,,,0.6376811594,,0.7608695652,0.5769230769,,,0.6944444444,,0.6764705882,0.5405405405,,,0.6285714286,,0.5731707317,0.3170731707,,,0.487804878,,,,0.727272727,0.592592593,0.4117647059,0.682926829,,,0.678571429,0.6,0.3529411765,0.651162791,,,0.626666667,0.463414634,0.2421052632,0.568965517,Hair Professionals Career College
0,0.9009287926,0.6462765957,,,0.7227906977,,0.7945544554,0.4991482112,,,0.6195761857,,0.6561743341,0.43273906,,,0.5223300971,,0.6278481013,0.3993288591,,,0.4904137235,,0.6522911051,0.3381877023,0.902857143,0.654411765,0.456016178,0.728987993,0.6233766234,0.3157894737,0.813519814,0.535384615,0.423690205,0.645968489,0.5941422594,0.3195121951,0.721839081,0.483630952,0.4206471495,0.577235772,Harrington College of Design
1,,,,,0.4876325088,,0.7317073171,0.4194915254,,,0.4657039711,,0.6779661017,0.4140625,,,0.4634920635,,0.6901408451,0.384341637,,,0.4460227273,,0.6666666667,0.3074433657,,,0.3884711779,0.487096774,0.6616541353,0.3065902579,0.791666667,0.454183267,0.4045643154,0.508361204,0.6153846154,0.3264248705,0.692307692,0.466666667,0.4095940959,0.510447761,Highland Community College
2,0.8831168831,0.7771084337,,,0.8206039076,,0.9078947368,0.768558952,,,0.8380743982,,0.9242902208,0.6972477064,,,0.8317757009,,0.9033942559,0.6637554585,,,0.8137254902,,0.9032967033,0.6751824818,0.911646586,0.825436409,0.817558299,0.858461539,0.8870056497,0.6655172414,0.924050633,0.797297297,0.8087697929,0.853658537,0.8832116788,0.6720779221,0.943786982,0.768965517,0.8072429907,0.863057325,Illinois Institute of Technology
3,0.9107551487,0.7689184201,,,0.8322435635,,0.8753292362,0.7077890663,,,0.7956271577,,0.8425825172,0.6742596811,,,0.7679725363,,0.8121448864,0.6190679778,,,0.7245392823,,0.7989965506,0.5940204563,0.920874752,0.821757837,0.7080788693,0.864967932,0.8025682183,0.6105188344,0.895533687,0.766625361,0.7200854701,0.833892949,0.8066396351,0.62979007,0.87950271,0.754469607,0.7302432705,0.823841528,University of Colorado Boulder
