,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
5,1,15,16,15,4,3,15711.0,0.706,1,21934,12,1,University of California-Berkeley,1,1,CA,18432,0
6,1,18,15,11,4,3,9036.0,0.4281,1,7227,12,1,California State University-East Bay,1,1,CA,6597,0
7,1,6,4,2,2,1,5041.0,1.0,2,3918,13,1,Pulaski Technical College,1,1,AR,1638,0
8,1,18,12,11,4,3,8378.0,0.5307,1,8276,23,1,California State University-Stanislaus,1,1,CA,4671,0
9,1,4,4,1,2,2,8503.0,0.276,2,4125,21,1,Antelope Valley College,1,1,CA,318,0
10,2,17,14,13,4,3,9217.0,0.3977,1,9984,21,1,Azusa Pacific University,1,2,CA,18037,0
11,1,31,18,0,4,4,12593.0,0.4231,1,13057,11,1,California Western School of Law,1,2,CA,30091,0
12,1,4,4,1,2,2,9157.0,0.2864,2,4794,21,1,College of the Canyons,1,1,CA,918,0
13,1,18,15,11,4,3,8663.0,0.483,1,6913,12,1,California State University-San Bernardino,1,1,CA,3870,0
14,1,24,18,0,4,4,5365.0,,1,17671,12,1,American Baptist Seminary of the West,1,2,CA,10790,0
15,1,-3,-2,-2,1,1,,,3,985,21,1,American Beauty College,1,3,CA,3930,0
16,1,7,5,1,2,1,8393.0,0.3878,2,3479,21,1,American River College,1,1,CA,451,0
17,1,18,15,13,4,3,8733.0,0.5273,1,6918,13,1,California State University-Chico,1,1,CA,4819,0
18,1,7,5,1,2,1,7483.0,0.4661,2,8783,11,1,City College of San Francisco,1,1,CA,1429,0
19,1,5,5,2,2,2,8092.0,0.3209,2,4742,13,1,De Anza College,1,1,CA,1697,0
0,1,25,18,0,4,4,10152.0,0.8855,1,28860,21,1,Western University of Health Sciences,1,2,CA,42551,0
1,1,7,4,1,2,2,8277.0,0.4071,2,3419,11,1,Cosumnes River College,1,1,CA,465,0
2,1,5,4,1,2,2,7862.0,0.2761,2,7531,21,1,College of the Desert,1,1,CA,800,0
3,1,5,3,1,2,2,7664.0,0.2103,2,4173,21,1,Cuyamaca College,1,1,CA,498,0
4,1,-3,-2,-2,1,1,,,3,3491,21,1,California Hair Design Academy,1,3,CA,6931,0
5,1,30,11,11,4,3,6552.0,0.5813,1,21405,21,1,California Institute of the Arts,1,2,CA,28507,0
6,2,-3,-2,-2,1,1,,,3,2402,12,1,Milan Institute-Visalia,1,3,CA,8434,1
7,1,23,12,7,3,3,6578.0,0.6168,1,5743,13,1,University of Arkansas-Fort Smith,1,1,AR,2468,0
8,1,7,4,1,2,1,8278.0,1.0,2,2397,12,1,Rio Salado College,1,1,AZ,2665,0
9,12,10,9,10,3,1,5162.0,0.5873,1,2590,11,1,Pima Medical Institute-Tucson,1,3,AZ,6412,0
10,1,5,3,1,2,2,6252.0,1.0,2,7099,41,1,Central Arizona College,1,1,AZ,1306,0
11,1,20,9,10,4,1,5509.0,1.0,1,7231,33,1,University of Arkansas at Monticello,1,1,AR,3263,0
12,1,-3,-2,-2,1,1,,,3,3893,13,1,Hot Springs Beauty College,1,3,AR,7784,0
13,1,22,11,15,4,3,6635.0,0.9675,1,7538,32,1,John Brown University,1,2,AR,10708,0
14,1,3,4,1,2,2,7092.0,0.2727,2,4368,13,1,Allan Hancock College,1,1,CA,645,0
15,1,19,14,14,4,3,8599.0,0.9944,1,14707,21,1,Samford University,1,2,AL,18385,0
16,1,13,8,10,3,2,3741.0,0.4706,1,3262,41,1,Crowley's Ridge College,1,2,AR,8404,0
17,1,1,2,2,2,1,5350.0,0.3827,2,4727,32,1,East Arkansas Community College,1,1,AR,1538,0
18,1,-3,-2,-2,1,1,,,3,1261,32,1,Searcy Beauty College,1,3,AR,2198,0
19,1,1,2,2,2,1,4733.0,1.0,2,6784,33,1,South Arkansas Community College,1,1,AR,1689,0
0,1,24,18,0,4,4,6896.0,0.5833,1,5070,12,1,Graduate Theological Union,1,2,CA,7938,0
1,1,5,5,1,2,2,7951.0,0.2349,2,4285,21,1,Grossmont College,1,1,CA,371,0
2,1,7,5,1,2,2,8688.0,0.3718,2,4251,11,1,Fresno City College,1,1,CA,416,0
3,1,5,4,1,2,1,9836.0,0.2945,2,3681,21,1,Golden West College,1,1,CA,1024,0
4,4,10,6,11,3,2,2584.0,0.2449,1,8409,11,0,FIDM-Fashion Institute of Design & Merchandising-San Francisco,1,3,CA,32193,0
5,1,24,18,0,4,4,3220.0,0.7222,1,18414,12,1,Dominican School of Philosophy & Theology,1,2,CA,12459,0
6,1,7,3,1,2,2,10698.0,0.3324,2,5301,11,1,Evergreen Valley College,1,1,CA,687,0
7,1,19,10,13,4,3,6641.0,0.8783,1,6169,11,1,Fresno Pacific University,1,2,CA,13674,0
8,1,3,4,1,2,2,8259.0,0.3043,2,4813,12,1,Hartnell College,1,1,CA,385,0
9,14,-3,-2,-2,1,1,,,3,7412,13,0,CET-Watsonville,1,2,CA,8999,0
10,1,22,11,11,4,3,8521.0,0.75,1,18783,12,1,California State University Maritime Academy,1,1,CA,9465,0
11,1,-3,-2,-2,1,1,,,3,6625,21,1,Clovis Adult Education,1,1,CA,10117,0
12,1,22,7,7,3,3,7504.0,0.1915,1,7697,11,1,Cogswell College,1,3,CA,15703,0
13,1,3,4,1,2,2,6156.0,0.2874,2,4041,41,1,John C Calhoun State Community College,1,1,AL,3114,0
14,1,18,13,13,4,3,6795.0,0.6952,1,7201,13,1,Jacksonville State University,1,1,AL,6218,0
15,1,2,3,2,2,2,5959.0,0.3325,2,4976,32,1,George C Wallace State Community College-Hanceville,1,1,AL,2884,0
16,1,18,13,13,4,3,5938.0,0.5333,1,5557,43,1,University of West Alabama,1,1,AL,8069,0
17,1,2,2,2,2,2,6050.0,0.3718,2,5283,42,1,Northeast Alabama Community College,1,1,AL,1945,0
18,1,7,3,2,2,1,5793.0,0.4265,2,6119,12,1,Lawson State Community College-Birmingham Campus,1,1,AL,1219,0
19,1,2,3,2,2,2,5665.0,0.5752,2,5557,41,1,George C Wallace State Community College-Dothan,1,1,AL,2034,0
0,3,23,6,11,3,2,5578.0,,1,7493,12,0,Platt College-Ontario,1,3,CA,13945,0
1,1,2,2,2,2,2,5232.0,0.552,2,5384,32,1,George C Wallace State Community College-Selma,1,1,AL,1315,0
2,1,1,2,3,2,2,5797.0,0.5318,2,6256,41,1,Lurleen B Wallace Community College,1,1,AL,1709,0
3,1,32,6,5,4,3,5942.0,1.0,1,5491,12,1,Pacific Oaks College,1,2,CA,17658,0
4,1,17,13,14,4,3,10663.0,0.5647,1,19706,11,1,University of the Pacific,1,2,CA,31196,0
5,1,5,4,1,2,1,11528.0,0.2493,2,4731,21,1,MiraCosta College,1,1,CA,1128,0
6,1,3,5,1,2,2,8729.0,0.4317,2,3455,12,1,Modesto Junior College,1,1,CA,510,0
7,1,-3,-2,-2,1,1,,,3,2269,11,1,Moler Barber College,1,3,CA,6279,0
8,1,30,9,10,3,1,3237.0,0.5349,1,10973,11,1,Musicians Institute,1,3,CA,23479,0
9,1,10,2,4,2,1,3668.0,0.303,2,2117,21,1,MTI College,1,3,CA,10536,0
10,1,3,3,1,2,2,7828.0,0.1656,2,7143,41,1,Mendocino College,1,1,CA,507,0
11,2,-3,-2,-2,2,1,5703.0,,2,2615,11,1,Brightwood College-North Hollywood,1,3,CA,7934,0
12,1,7,3,1,2,1,8234.0,0.314,2,4207,11,1,Merritt College,1,1,CA,1318,0
13,1,-3,-2,-2,1,1,,,3,4915,11,1,Newberry School of Beauty,1,3,CA,7520,0
14,1,26,6,11,4,3,12164.0,0.3095,1,16568,41,1,Palo Alto University,1,2,CA,24561,0
15,1,-3,-2,-2,1,1,,,2,5795,21,1,Bellus Academy-El Cajon,1,3,CA,13366,0
16,1,30,6,5,3,2,9650.0,,1,3625,13,1,Interior Designers Institute,1,3,CA,22801,0
17,2,5,4,1,2,1,8832.0,0.2693,2,3561,12,1,Irvine Valley College,1,1,CA,1352,0
18,1,26,6,0,4,1,5581.0,0.4052,1,11024,21,1,Southern California University of Health Sciences,1,2,CA,21007,0
19,28,30,7,7,4,3,5959.0,0.19,1,7386,11,0,Argosy University-The Art Institute of California-San Francisco,1,3,CA,13755,0
0,1,18,14,15,4,3,10292.0,0.5468,1,16208,11,1,Loyola Marymount University,1,2,CA,30462,0
1,2,22,7,7,4,3,6021.0,0.1118,1,4279,11,1,Humphreys University-Stockton and Modesto Campuses,1,2,CA,12162,0
2,1,21,8,14,3,3,12984.0,0.875,1,32257,21,1,Harvey Mudd College,1,2,CA,28947,0
3,1,-3,-2,-2,1,1,,,3,1143,21,1,Hilltop Beauty School,1,3,CA,922,0
